دوره زمانی,sc,استخراج نفت,,,,پلایشگاه,,,,,,
,,هزینه زیست محیطی,هزینه مسئولیت اجتماعی,هزینه پرسنلی,نفت سبک تولیدی به قیمت روز اوپک بر مبنای میلیون دلار,هزینه زیست محیطی,هزینه مسئولیت اجتماعی,هزینه پرسنلی,نفت خام فروش به قیمت روز اوپک بر مبنای میلیون دلار,مشتقات نفتی نیاز به دوباره کاری بر مبنای میلیون دلار بهای تمام شده,حجم گاز تولیدی,بشکه مشتقات نفتی جهت شرکت های تولیدی    
1,1,73.000,27.000,19.000,4260.000,98.000,24.000,14.000,5154.600,298.200,25.000,118929.000
,2,62.000,39.000,10.000,3204.000,82.000,14.000,16.000,3876.840,224.280,36.000,134365.000
,3,91.000,30.000,10.000,3977.000,44.000,28.000,13.000,4812.170,278.390,21.000,145445.000
,4,92.000,45.000,15.000,4984.000,59.000,13.000,17.000,6030.640,348.880,19.000,137168.000
,5,26.000,41.000,6.000,5698.000,36.000,26.000,16.000,6894.580,398.860,22.000,122628.000
,6,33.000,41.000,16.000,3723.000,69.000,39.000,11.000,4504.830,260.610,24.000,111985.000
,7,38.000,36.000,8.000,6821.000,40.000,42.000,15.000,8253.410,477.470,28.000,100567.000
,8,44.000,22.000,17.000,2682.000,66.000,37.000,7.000,3245.220,187.740,24.000,145691.000
,9,90.000,20.000,7.000,3044.000,91.000,14.000,12.000,3683.240,213.080,20.000,95684.000
,10,40.000,43.000,5.000,5885.000,76.000,12.000,9.000,7120.850,411.950,20.000,134286.000
,11,60.000,20.000,7.000,3941.000,30.000,38.000,19.000,4768.610,275.870,29.000,118923.000
,12,92.000,18.000,8.000,4460.000,71.000,14.000,10.000,5396.600,312.200,25.000,138136.000
,13,20.000,21.000,15.000,5751.000,60.000,21.000,17.000,6958.710,402.570,31.000,105551.000
,14,40.000,44.000,17.000,2785.000,33.000,16.000,6.000,3369.850,194.950,32.000,119291.000
